method,period,monthly_return
ml_ranker,2020-04,-0.0024768259280719116
ml_ranker,2020-05,-0.002240448089854217
ml_ranker,2020-06,-0.0010728460986647215
ml_ranker,2020-07,-0.004920920166883333
ml_ranker,2020-08,0.0007676989564812736
ml_ranker,2020-09,-0.003614364920556378
ml_ranker,2020-10,-0.0005088729325812321
ml_ranker,2020-11,-0.0009219456417276373
ml_ranker,2020-12,-0.0012971978292724432
ml_ranker,2021-01,0.004602208474328948
ml_ranker,2021-02,0.003444535073157862
ml_ranker,2021-03,-0.0067379639054080094
ml_ranker,2021-04,0.0002077649243330794
ml_ranker,2021-05,0.002434426964196518
ml_ranker,2021-06,0.0028458981822726643
ml_ranker,2021-07,-0.002381139305508735
ml_ranker,2021-08,-0.0034516579377888304
ml_ranker,2021-09,-0.002609754594045307
ml_ranker,2021-10,-0.00039862579894964407
ml_ranker,2021-11,-8.718966656789669e-05
ml_ranker,2021-12,-0.004077101047458804
ml_ranker,2022-01,-0.003287188068940225
ml_ranker,2022-02,0.0006123235335673774
ml_ranker,2022-03,-0.001388228595400314
ml_ranker,2022-04,-0.004559918207706999
ml_ranker,2022-05,0.00469631814280557
ml_ranker,2022-06,0.0025155998910521902
ml_ranker,2022-07,0.0005467545916243755
ml_ranker,2022-08,0.0010539578302645003
ml_ranker,2022-09,-0.002576761822714594
ml_ranker,2022-10,-0.000792255522867434
ml_ranker,2022-11,-0.00046649358652690805
ml_ranker,2022-12,-0.0009050393367883401
ml_ranker,2023-01,-0.0053464718793923465
ml_ranker,2023-02,-0.0011302647796309273
ml_ranker,2023-03,-0.003255867431000682
ml_ranker,2023-04,-0.0063906243415395685
ml_ranker,2023-05,0.0013307949080380284
ml_ranker,2023-06,-0.005629340428876494
ml_ranker,2023-07,0.002630090413169341
ml_ranker,2023-08,-0.0007582738502100641
ml_ranker,2023-09,-0.0031571135536555602
ml_ranker,2023-10,-0.0023348938127249075
ml_ranker,2023-11,-0.0029085953483697206
ml_ranker,2023-12,-0.001889779401251311
ml_ranker,2024-01,-0.004647516696045965
ml_ranker,2024-02,0.003916009313140411
ml_ranker,2024-03,-0.0008313334519617593
ml_ranker,2024-04,0.002262172946292059
ml_ranker,2024-05,-0.0021121392870175094
ml_ranker,2024-06,-0.00025748556156040604
ml_ranker,2024-07,-0.007604920373169205
ml_ranker,2024-08,-0.001997716916976128
ml_ranker,2024-09,-0.0011110777416939418
ml_ranker,2024-10,0.0004990554369749976
ml_ranker,2024-11,-0.004371704336048741
ml_ranker,2024-12,-0.002276641021738531
ml_ranker,2025-01,0.0007158711064664321
ml_ranker,2025-02,0.0009873063709554203
ml_ranker,2025-03,0.00068674580855525
ml_ranker,2025-04,0.0001740134026406163
ml_ranker,2025-05,-0.0009334519898841508
ml_ranker,2025-06,0.0013831589819243552
ml_ranker,2025-07,-0.002688091165467266
ml_ranker,2025-08,-0.002282904394851414
ml_ranker,2025-09,0.003058896329329651
ml_ranker,2025-10,0.00044028004962232755
ml_ranker,2025-11,0.0004062553187848849
ml_ranker,2025-12,-0.002641209075847079
ml_ranker,2026-01,7.209373422568054e-05
ml_ranker,2026-02,-0.003230709403091143
ml_ranker,2026-03,0.0002602494117727273
ml_ranker,2026-04,0.00014462628200329403
opening_range_breakout,2017-05,-0.0014765790699216947
opening_range_breakout,2017-07,-0.002653300650386081
opening_range_breakout,2017-10,0.000282854348211937
opening_range_breakout,2018-06,0.000601257911538283
opening_range_breakout,2019-05,-0.001609878454503093
opening_range_breakout,2020-05,0.003903585377083036
opening_range_breakout,2020-06,-0.012929975643336866
opening_range_breakout,2020-07,-0.0037586077861135815
opening_range_breakout,2020-08,-0.00891671079414388
opening_range_breakout,2020-12,0.00012403740766391
opening_range_breakout,2021-09,0.0019004764989870829
opening_range_breakout,2022-03,-0.000898579826424354
opening_range_breakout,2022-04,0.000630092161110324
opening_range_breakout,2022-06,-0.0012926660611273805
opening_range_breakout,2022-07,-0.0009089021941810155
opening_range_breakout,2022-12,-0.00040361372477183
opening_range_breakout,2023-01,-0.0005523989421079241
opening_range_breakout,2023-02,-0.00024961398551445854
opening_range_breakout,2023-09,0.0001409613976367595
opening_range_breakout,2023-10,-1.0071842067233e-05
opening_range_breakout,2024-10,-0.0004480654740030676
opening_range_breakout,2024-11,-0.0010217367430824299
opening_range_reversal,2017-05,-0.002013996200759848
opening_range_reversal,2017-06,-0.0005112520741570285
opening_range_reversal,2018-03,-0.00027979970624417903
opening_range_reversal,2018-06,0.000758107383559467
opening_range_reversal,2018-07,0.0004136091869188248
opening_range_reversal,2018-08,0.003242268355623528
opening_range_reversal,2018-09,-0.008268100657182502
opening_range_reversal,2018-10,-0.016216169043990845
opening_range_reversal,2018-11,-0.0009339816368183474
opening_range_reversal,2018-12,0.0020370157894357144
opening_range_reversal,2019-01,0.007802601015952313
opening_range_reversal,2019-02,-3.0406460139906477e-05
opening_range_reversal,2019-03,0.000140885903605287
opening_range_reversal,2019-04,0.00013387779935444648
opening_range_reversal,2019-05,0.003226271372271652
opening_range_reversal,2019-06,0.006434043506491614
opening_range_reversal,2019-07,-0.01946473204681346
opening_range_reversal,2019-08,-0.008376883091420324
opening_range_reversal,2019-09,-0.0026388757517295507
opening_range_reversal,2019-10,-0.00215197216355015
opening_range_reversal,2019-11,-0.01788128167825613
opening_range_reversal,2019-12,-0.021589380500530605
opening_range_reversal,2020-01,-0.0062162354001065205
opening_range_reversal,2020-02,0.02122881292053725
opening_range_reversal,2020-05,0.0024636870966522543
opening_range_reversal,2020-06,0.008027179033352573
opening_range_reversal,2020-07,0.010086671738002482
opening_range_reversal,2020-08,-0.001306800927003881
opening_range_reversal,2020-09,0.00635939968508329
opening_range_reversal,2020-10,-0.01387013831094553
opening_range_reversal,2020-11,-0.004033240816925814
opening_range_reversal,2020-12,-5.2339436272009e-05
opening_range_reversal,2021-02,-0.010545689610552127
opening_range_reversal,2021-03,0.005416077767928296
opening_range_reversal,2021-04,-0.0005078183373717002
opening_range_reversal,2021-05,0.020343548949565634
opening_range_reversal,2021-09,0.0010421274901752009
opening_range_reversal,2021-10,-0.0008564656329098664
opening_range_reversal,2021-11,-0.002312539447420428
opening_range_reversal,2022-03,-0.0020890845821308407
opening_range_reversal,2022-04,0.0019182775929133245
opening_range_reversal,2022-05,0.000804338168566092
opening_range_reversal,2022-06,0.0004371568830346275
opening_range_reversal,2022-07,-0.0012670388832301091
opening_range_reversal,2022-08,4.70816878540065e-05
opening_range_reversal,2022-09,0.000169740120792209
opening_range_reversal,2022-12,-0.00514123410483984
opening_range_reversal,2023-01,-0.0020139962007598385
opening_range_reversal,2023-02,-0.0027622755295343684
opening_range_reversal,2023-03,-0.0012258109812213855
opening_range_reversal,2023-09,0.005912214608713823
opening_range_reversal,2023-10,-0.0008878720387563825
opening_range_reversal,2023-11,0.001856223145169043
opening_range_reversal,2023-12,0.000303559658198224
opening_range_reversal,2024-03,-0.0023863741675161816
opening_range_reversal,2024-04,0.017607475454921834
opening_range_reversal,2024-05,-0.03281588255619982
opening_range_reversal,2024-06,0.01594086328433115
opening_range_reversal,2024-07,-0.006502861519143807
opening_range_reversal,2024-08,-0.006310848805367514
opening_range_reversal,2024-09,-0.024652144048598293
opening_range_reversal,2024-10,-0.0042443523273668834
