k,silhouette,validation_selected_cluster_mean,validation_positive_clusters,cluster,count,next_day_return_mean,next_day_return_median,hit_rate,period,fold
10,,,,5.0,340.0,-0.010499899644418687,-0.005568008695476134,0.4411764705882353,validation,13
10,,,,6.0,660.0,-0.007481236050911734,-0.007622868262981863,0.4015151515151515,validation,13
10,,,,7.0,695.0,-0.009235856867451497,-0.006205250596658773,0.4302158273381295,validation,13
10,,,,8.0,526.0,0.0012981439785742274,0.002508708864748188,0.5475285171102662,validation,13
10,,,,9.0,671.0,-0.0033586059266085184,-0.0022714366837024436,0.46050670640834573,validation,13
10,,,,0.0,1507.0,0.004197695177214919,0.0015659955257270042,0.544127405441274,test,13
10,,,,1.0,322.0,0.006284934392608215,0.0025863592973153215,0.5496894409937888,test,13
10,,,,2.0,77.0,-0.00814356636159533,-0.012526096033402934,0.3116883116883117,test,13
10,,,,3.0,1217.0,0.002505687445380476,0.00041050903119876914,0.5061626951520132,test,13
10,,,,4.0,832.0,0.003418819337389515,0.002410082992929552,0.5600961538461539,test,13
10,,,,5.0,183.0,0.009764601769829259,0.0024517087667161874,0.5191256830601093,test,13
10,,,,6.0,299.0,0.004644039259869468,0.0009433962264151496,0.5083612040133779,test,13
10,,,,7.0,95.0,0.003972541011797182,0.0013651877133105117,0.5368421052631579,test,13
10,,,,8.0,624.0,0.002667898555824587,-0.0014812025126693107,0.46634615384615385,test,13
10,,,,9.0,318.0,0.0028110747728205105,0.0,0.4968553459119497,test,13
4,0.23749256504795543,0.004023600984545351,3.0,,,,,,,14
6,0.16033172924241315,0.004221425241887583,5.0,,,,,,,14
8,0.1434659584372255,0.004870782047731473,5.0,,,,,,,14
10,0.1166824924696714,0.00509788404838776,7.0,,,,,,,14
4,,,,0.0,57.0,-0.008441080242832456,-0.01431057822471482,0.2982456140350877,validation,14
4,,,,1.0,825.0,0.0038272181875759793,0.00256191289496166,0.5563636363636364,validation,14
4,,,,2.0,3610.0,0.0034081271957717655,0.0008789297875890778,0.5243767313019391,validation,14
4,,,,3.0,982.0,0.0048354575702883075,-0.0002897888127969539,0.48981670061099797,validation,14
4,,,,0.0,16.0,-0.010020112239166934,-0.004081660224161954,0.4375,test,14
4,,,,1.0,1026.0,0.0041929493653813715,0.004105026057087735,0.5701754385964912,test,14
4,,,,2.0,3553.0,0.0013291950167875664,5.5604982206247655e-05,0.5012665353222628,test,14
4,,,,3.0,989.0,0.0019264641306384615,0.0007474772642330763,0.5116279069767442,test,14
4,0.23129158086299892,0.0024435924222929355,3.0,,,,,,,15
6,0.16832036730397712,0.0030585287054164098,5.0,,,,,,,15
8,0.14518463613836355,0.0034102993156994257,7.0,,,,,,,15
